"HyrCV";"HYR";"MPGRP";"TI";"INTRO";"POS"
"0016295";"SBA";false;"Dérivés du gadolinium";"**_Positionnement_**

  
  - Il s’agit de chélates de gadolinium à distribution extracellulaire qui entraînent un contraste positif. Les dérivés du gadolinium sont éliminés par les reins; l'acide gadobénique (sel de diméglumine) et l’acide gadoxétique (sel disodique) en partie aussi par le foie. 
 

**_Effets indésirables_**

  
  - Nausées, céphalées et éruption cutanée: rare. 
  - Fibrose systémique néphrogénique avec atteinte organique et lésions cutanées chez les patients atteints d’une insuffisance rénale. 
  - Réactions d’hypersensibilité avec choc anaphylactique pouvant mettre la vie en danger. 
  - Les patients qui présentent une hypersensibilité aux produits de contraste iodés n'ont pas un risque accru d'effets indésirables. 
  - Pour certains dérivés du gadolinium, il existe un risque de dépôt du gadolinium au niveau du cerveau, sans preuve d’effets indésirables neurologiques. 
  - Pour la plupart de ces médicaments, des précautions particulières doivent être prises chez les patients dont la fonction rénale est altérée. 
 

**_Grossesse et allaitement_**

  
  - Grossesse: les dérivés du gadolinium ne peuvent être utilisés que dans des situations bien précises. Les données limitées d’utilisation pendant la grossesse sont toutefois rassurantes (pas de signal de malformations congénitales ou d'autres effets indésirables chez l'enfant selon nos sources). 
  - Allaitement: il est recommandé d'interrompre l'allaitement pendant 3 à 4 heures après l'injection. D'après nos sources, il n'y a aucun indice d'effet néfaste chez l'enfant. 
 ";
"0016303";"SBAA";true;"Spécialités [Dérivés du gadolinium]";;
"0016337";"SC";false;"Tuberculine";"La tuberculine est utilisée pour le diagnostic de la tuberculose: le test cutané tuberculinique (TCT, aussi appelé intradermo-réaction ou test de Mantoux): Pour plus d’informations sur le diagnostic de la tuberculose, voir fares.be. L'activité de la tuberculine purifiée est exprimée ici en unités-tuberculine (TU). Des tests faussement positifs consécutifs à une vaccination BCG antérieure sont possibles.
 
 L'injection doit être strictement intradermique (dans le tiers médian de l’avant-bras) en raison du risque d’ulcération. Un dosage de 2 TU/0,1 ml est recommandé.
 
La tuberculine peut être utilisée pendant la grossesse et l'allaitement.
 ";
"0016345";"SCA";true;"Spécialités [Tuberculine]";;
"0016352";"SD";false;"Agents de diagnostic divers";"**_Positionnement_**

  
  - L’acide 5-aminolévulinique est utilisé pour la visualisation des tissus malins lors de l'ablation chirurgicale de gliomes malins. 
  - L’hexyl aminolévulinate est utilisé en instillation intravésicale pour le diagnostic cystoscopique du cancer vésical. 
  - Le carmin d’indigo (indigotine) est utilisé pour la détection peropératoire des lésions urétérales suspectées au cours d’une chirurgie abdomino-pelvienne. 
  - Le vert d’indocyanine est utilisé pour certains examens angiographiques. 
  - Le bleu patenté est utilisé pour la visualisation de vaisseaux lymphatiques superficiels. 
  - Le perflutrène est utilisé en échocardiographie pour permettre une meilleure visualisation de la cinétique pariétale. 
  - Le régadénoson est un vasodilatateur coronarien sélectif utilisé comme agent de stress pharmacologique lors de la scintigraphie de perfusion myocardique et de l’angiographie coronaire invasive. 
  - L’hexafluorure de soufre est utilisé en échographie pour améliorer l’échogénicité du sang et des fluides urinaires. 
 

**_Contre-indications_**

  
  - Le vert d’indocyanine: hypersensibilité à l'iode, hyperthyroïdie. 
  - Le carmin d’indigo: hypersensibilité à la substance active ou aux colorants, décompensation cardiaque, instabilité hémodynamique. 
  - Perflutrène: hypertension artérielle pulmonaire. 
  - Régadénoson: arythmies, angine instable, hypotension, décompensation cardiaque. 
 

**_Effets indésirables_**

  
  - Acide 5-aminolévulinique: hypotension, nausées, photosensibilité, photodermatoses. 
  - Hexyl aminolévulinate: spasmes vésicaux, douleurs vésicales, dysurie. 
  - Carmin d’indigo: réactions allergiques, bradycardie, élévation transitoire de la pression artérielle. 
  - Vert d’indocyanine: nausées, réactions allergiques et, rarement, spasmes coronariens. 
  - Bleu patenté: urticaire et choc anaphylactique. 
  - Perflutrène: dysgueusie, céphalées, rougeur de la face, bouffées de chaleur, nausées. 
  - Régadénoson: dyspnée, céphalées, bouffées de chaleur, douleur thoracique, modifications du segment ST, troubles gastro-intestinaux, vertiges. Rarement effets cardiaques sévères (troubles du rythme, infarctus du myocarde). 
  - Hexafluorure de soufre: réactions allergiques et effets indésirables cardiaques graves. 
 

**_Grossesse et allaitement_**

  
  - Grossesse: ces produits sont déconseillés pendant la grossesse. 
  - Allaitement: il est recommandé d’interrompre l’allaitement jusqu'à 24 heures après l'administration. 
 ";
"0016360";"SDA";true;"Spécialités [Agents de diagnostic divers]";;
"0016378";"T";false;"Médicaments divers";"- 20.1. Antidotes et chélateurs 
  - 20.2. Obésité 
  - 20.3. Maladies métaboliques congénitales et maladies rares 
  - 20.4. Autres maladies orphelines 
  - 20.5. Médicaments homéopathiques 
 ";
"0019190";"TA";false;"Antidotes et chélateurs";"- Pour la prise en charge générale des intoxications, [voir Intro.7.1. Intoxications médicamenteuses](http://www.cbip.be/fr/contents/9990300)
 
- A l'exception du glucose ou du glucagon administrés en cas d’hypoglycémie provoquée par des hypoglycémiants, les antidotes plus spécifiques ne sont généralement pas appropriés pour un usage en première ligne. Les hôpitaux prenant en charge des cas d'intoxication aiguë doivent bien entendu disposer d'une série d'antidotes. La composition de cette liste sera établie sur base d'ouvrages classiques en toxicologie clinique et de préférence en concertation avec le Centre Antipoisons.
 
- Seuls les antidotes enregistrés comme médicaments sont mentionnés ici. Il existe en outre des antidotes qui sont disponibles auprès du Centre Antipoisons ou qui sont importés de l’étranger [[voir Intro.2.10.15. Importation de médicaments indisponibles en Belgique et médicaments bénéficiant d’une dérogation](http://www.cbip.be/fr/contents/9991175)]. Pour toute information, vous pouvez vous adresser au Centre Antipoisons (**tél. 070 245 245** ou www.centreantipoisons.be).
 ";
"0019208";"TAA";false;"Antidotes en cas d'intoxication médicamenteuse";;
"0019216";"TAAA";true;"Anticorps antidigoxine en cas d'intoxication digitalique";"**_Positionnement_**

  
  - En cas d’intoxication digitalique mettant la vie en danger, des anticorps antidigoxine sont utilisés. Il n'existe pas de spécialité enregistrée en Belgique. La spécialité Digifab® est disponible via le Centre Antipoisons. 
 ";
"0019224";"TAAB";false;"Protamine comme antidote de l'héparine";"**_Positionnement_**

  
  - La protamine est l'antidote des héparines ([voir 2.1.2.2.1. Héparines](http://www.cbip.be/fr/contents/25916)). 
 

**_Indications (synthèse du RCP)_**

  
  - Traitement d’un surdosage ou d’une hémorragie lors d’un traitement par héparine ou par héparine de bas poids moléculaire (HBPM). 
  - Inactivation des effets anticoagulants de l’héparine ou des HBPM avant une intervention chirurgicale d’urgence ou lors d’une opération de pontage coronarien. 
 

**_Effets indésirables_**

  
  - Réactions allergiques. 
  - Hypotension et bradycardie. 
 

**_Précautions particulières_**

  
  - La durée d'action de l'héparine étant plus longue que celle de la protamine, une seconde injection de protamine est souvent nécessaire. 
  - Pour les héparines de bas poids moléculaire, la neutralisation par la protamine est incomplète. 
 

**_Posologie_**

  
  - 1.400 UI de protamine neutralisent environ 1.400 UI d'héparine ou 1.000 UI anti-Xa d’une héparine de bas poids moléculaire. Le temps écoulé depuis l’administration de l’héparine doit aussi être pris en compte. Une seconde injection de protamine est souvent nécessaire. 
 ";
"0002311";"TAABA";true;"Spécialités [Protamine comme antidote de l'héparine]";;
